fecha,segmento,marca,id_producto,ventas_litros,precio,distancia_ponderada,dummy_folleto,Precios_Leche,Precios_electricidad,Precios_gasóleo
2022-09-18,SIN_LACTOSA,COVAP,SIN_LACTOSA_COVAP,73195.0688,1.1507,0.076491,1,0.495,133.369,179.601
2022-09-18,SIN_LACTOSA,PULEVA,SIN_LACTOSA_PULEVA,265022.9937,1.2294,0.416016,1,0.495,133.369,179.601
2022-09-18,SIN_LACTOSA,ASTURIANA,SIN_LACTOSA_ASTURIANA,799317.5384,1.1632,0.5310929999999999,1,0.495,133.369,179.601
2022-09-18,SIN_LACTOSA,MDD,SIN_LACTOSA_MDD,4959701.5848,0.8744,0.967946,1,0.495,133.369,179.601
2022-09-18,SIN_LACTOSA,CELTA,SIN_LACTOSA_CELTA,26614.9611,0.9935,0.114695,1,0.495,133.369,179.601
2022-09-18,SIN_LACTOSA,PASCUAL,SIN_LACTOSA_PASCUAL,365562.8236,1.3404,0.494406,1,0.495,133.369,179.601
2022-09-18,SIN_LACTOSA,PRESIDENT,SIN_LACTOSA_PRESIDENT,16536.8002,1.0255,0.102787,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,COVAP,SIN_LACTOSA_COVAP,71247.7822,1.1577,0.076698,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,PULEVA,SIN_LACTOSA_PULEVA,262864.365,1.2448,0.418317,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,ASTURIANA,SIN_LACTOSA_ASTURIANA,801926.8487,1.1632,0.538284,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,MDD,SIN_LACTOSA_MDD,4938110.297,0.8719,0.966891,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,CELTA,SIN_LACTOSA_CELTA,20686.9626,0.9987,0.113676,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,PASCUAL,SIN_LACTOSA_PASCUAL,349675.2042,1.3551,0.500808,1,0.495,133.369,179.601
2022-09-25,SIN_LACTOSA,PRESIDENT,SIN_LACTOSA_PRESIDENT,24536.9162,1.0084,0.108189,1,0.495,133.369,179.601
2022-10-02,SIN_LACTOSA,COVAP,SIN_LACTOSA_COVAP,76952.4722,1.1576,0.074951,1,0.556,103.301,186.411
2022-10-02,SIN_LACTOSA,PULEVA,SIN_LACTOSA_PULEVA,298059.1715,1.2296,0.42378,1,0.556,103.301,186.411
2022-10-02,SIN_LACTOSA,ASTURIANA,SIN_LACTOSA_ASTURIANA,844471.8943,1.1644,0.53813,1,0.556,103.301,186.411
2022-10-02,SIN_LACTOSA,MDD,SIN_LACTOSA_MDD,5323765.7651,0.8721,0.9678100000000001,1,0.556,103.301,186.411
2022-10-02,SIN_LACTOSA,CELTA,SIN_LACTOSA_CELTA,21413.9646,1.0059,0.11454800000000001,1,0.556,103.301,186.411
2022-10-02,SIN_LACTOSA,PASCUAL,SIN_LACTOSA_PASCUAL,406011.51,1.3413,0.503085,1,0.556,103.301,186.411
2022-10-02,SIN_LACTOSA,PRESIDENT,SIN_LACTOSA_PRESIDENT,27916.1442,1.0266,0.119277,1,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,COVAP,SIN_LACTOSA_COVAP,71624.6127,1.16,0.075668,0,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,PULEVA,SIN_LACTOSA_PULEVA,299402.1896,1.2033,0.41284,1,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,ASTURIANA,SIN_LACTOSA_ASTURIANA,856894.1736,1.1422,0.526077,1,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,MDD,SIN_LACTOSA_MDD,5148812.1519,0.9023,0.968603,1,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,CELTA,SIN_LACTOSA_CELTA,22245.248,1.0194,0.111945,1,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,PASCUAL,SIN_LACTOSA_PASCUAL,389399.6024,1.3381,0.48978,1,0.556,103.301,186.411
2022-10-09,SIN_LACTOSA,PRESIDENT,SIN_LACTOSA_PRESIDENT,22223.9825,0.9908,0.111871,1,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,COVAP,SIN_LACTOSA_COVAP,64492.6758,1.1643,0.077755,0,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,PULEVA,SIN_LACTOSA_PULEVA,284172.641,1.2,0.419073,1,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,ASTURIANA,SIN_LACTOSA_ASTURIANA,841443.7176,1.1385,0.5349710000000001,1,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,MDD,SIN_LACTOSA_MDD,4919439.9046,0.9213,0.9672419999999999,1,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,CELTA,SIN_LACTOSA_CELTA,26129.7161,1.0195,0.113011,0,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,PASCUAL,SIN_LACTOSA_PASCUAL,369765.9336,1.3583,0.49864800000000004,1,0.556,103.301,186.411
2022-10-16,SIN_LACTOSA,PRESIDENT,SIN_LACTOSA_PRESIDENT,15453,1.0464,0.105861,1,0.556,103.301,186.411
2022-10-23,SIN_LACTOSA,COVAP,SIN_LACTOSA_COVAP,71861.2685,1.185,0.07824,0,0.556,103.301,186.411
