Mes,2021,2022,2023,2024,2025,,,
Enero,99.524,105.561,140.424,141.068,142.563,,,https://www.ine.es/jaxiT3/Datos.htm?t=50903#_tabs-tabla
Febrero,98.653,107.339,142.868,140.948,142.046,,,
Marzo,98.736,109.617,142.969,141.382,141.837,,,
Abril,98.861,111.924,142.794,140.443,142.956,,,
Mayo,98.754,115.058,142.179,138.474,143.765,,,https://www.ine.es/jaxiT3/Tabla.htm?t=50906&L=0
Junio,98.748,118.877,142.312,138.214,143.485,,,
Julio,98.686,120.971,142.404,138.327,143.798,,,
Agosto,98.755,124.05,141.554,138.213,144.103,,,
Septiembre,100.327,125.552,140.54,137.39,144.469,,,
Octubre,102.187,127.69,140.928,139.426,145.507,,,
Noviembre,102.896,134.71,140.603,139.608,145.669,,,
Diciembre,103.874,142.562,140.671,139.46,145.744,,,
