Mes,2021,2022,2023,2024,2025,,,,
Enero,82.614,119.426,159.169,138.343,132.495,,,,https://www.ine.es/jaxiT3/Datos.htm?t=50905#_tabs-tabla
Febrero,86.28,131.363,149.175,143.675,135.677,,,,
Marzo,93.167,170.519,148.412,143.578,127.97,,,,
Abril,92.352,180.74,135.955,143.214,122.94,,,,
Mayo,93.974,175.146,127.68,138.555,116.565,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=50905&L=0
Junio,97.64,199.272,126.25,136.512,120.157,,,,
Julio,104.508,204.54,134.396,136.063,125.676,,,,
Agosto,101.197,181.286,147.76,133.26,122.344,,,,
Septiembre,103.992,179.601,158.256,122.639,122.282,,,,
Octubre,112.081,186.411,159.564,124.015,120.807,,,,
Noviembre,117.712,179.555,149.862,125.364,124.955,,,,
Diciembre,114.482,162.207,141.484,126.055,119.894,,,,
