Mes,2021,2022,2023,2024,2025,,
Enero,0.34,0.371,0.599,0.517,0.495,,
Febrero,0.338,0.378,0.603,0.514,0.495,,
Marzo,0.337,0.383,0.595,0.511,0.496,,
Abril,0.336,0.42,0.56,0.488,0.501,,https://www.mapa.gob.es/dam/mapa/contenido/ganaderia/temas/produccion-y-mercados-ganaderos/sectores-ganaderos-2/vacuno-lechero/informacion-del-sector/entregas/informe-base-entregas-de-leche_nov25-0.pdf
Mayo,0.335,0.431,0.543,0.484,0.502,,
Junio,0.332,0.438,0.534,0.478,0.496,,
Julio,0.334,0.463,0.53,0.473,0.502,,
Agosto,0.338,0.476,0.518,0.473,0.519,,
Septiembre,0.342,0.495,0.515,0.48,0.529,,
Octubre,0.353,0.556,0.517,0.487,0.535,,
Noviembre,0.362,0.587,0.522,0.492,0.542,,
Diciembre,0.364,0.597,0.521,0.494,0.542,,
